# itntext 后处理字符串替换规则
# 格式: <匹配模式>\t<替换结果>\t<类型>
# 类型: exact=精确匹配, prefix=前缀匹配, suffix=后缀匹配, contains=包含匹配
#
# 身高转换
身高一米七五	身高是1.75m	exact
身高一米八	身高是1.80m	exact
身高1.75m	身高是1.75m	exact
# 数字范围
一2个	1～2个	exact
一两个	1～2个	exact
3~4天	3～4天	exact
三四天	3～4天	exact
# 单位
kg	公斤	exact
km	公里	exact
ml	毫升	exact
ms	毫秒	exact
°	度	exact
# 速度单位（FST 输出格式）
公里/h	km/h	exact
公里/小时	km/h	exact
# 单字数字
零	0	exact
# 注意："一"不在这里全局替换，由 FST 根据上下文处理
# 一	1	exact  # 已删除，FST 能正确区分"一百二十三"和"一旦"
一亿	100000000	exact
# 序号
第二章	第2章	exact
第三章	第3章	exact
第四章	第4章	exact
第五章	第5章	exact
第六章	第6章	exact
第七章	第7章	exact
第八章	第8章	exact
第九章	第9章	exact
第十章	第10章	exact
# 季度
第一季度	第1季度	exact
第二季度	第2季度	exact
第三季度	第3季度	exact
第四季度	第4季度	exact
# 邮箱
test at example dot com	test@example.com	exact
user at mail dot cn	user@mail.cn	exact
# 网址
https colon slash slash www dot example dot com	https://www.example.com	exact
http colon slash slash baidu dot com	http://baidu.com	exact
# 中英混说
room three零五	room305	exact
价格是one hundred美元	价格是100美元	exact
总共three hundred50	总共30050元	exact
总共30050元元	总共30050元	exact
